start,end,file
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 31.296 -to 31.897 -c:a libmp3lame -q:a 2 "audio/your-song/054.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 31.897 -to 32.497 -c:a libmp3lame -q:a 2 "audio/your-song/055.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 32.497 -to 33.098 -c:a libmp3lame -q:a 2 "audio/your-song/056.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 33.098 -to 33.698 -c:a libmp3lame -q:a 2 "audio/your-song/057.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 33.698 -to 34.299 -c:a libmp3lame -q:a 2 "audio/your-song/058.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 34.299 -to 34.899 -c:a libmp3lame -q:a 2 "audio/your-song/059.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 34.899 -to 35.500 -c:a libmp3lame -q:a 2 "audio/your-song/060.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 35.500 -to 36.100 -c:a libmp3lame -q:a 2 "audio/your-song/061.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 36.100 -to 36.701 -c:a libmp3lame -q:a 2 "audio/your-song/062.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 36.701 -to 37.302 -c:a libmp3lame -q:a 2 "audio/your-song/063.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 37.302 -to 37.902 -c:a libmp3lame -q:a 2 "audio/your-song/064.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 37.902 -to 38.503 -c:a libmp3lame -q:a 2 "audio/your-song/065.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 38.503 -to 39.103 -c:a libmp3lame -q:a 2 "audio/your-song/066.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 39.103 -to 39.704 -c:a libmp3lame -q:a 2 "audio/your-song/067.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 39.704 -to 40.304 -c:a libmp3lame -q:a 2 "audio/your-song/068.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 40.304 -to 40.905 -c:a libmp3lame -q:a 2 "audio/your-song/069.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 40.905 -to 41.505 -c:a libmp3lame -q:a 2 "audio/your-song/070.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 41.505 -to 42.106 -c:a libmp3lame -q:a 2 "audio/your-song/071.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 42.106 -to 42.706 -c:a libmp3lame -q:a 2 "audio/your-song/072.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 42.706 -to 43.307 -c:a libmp3lame -q:a 2 "audio/your-song/073.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 43.307 -to 43.907 -c:a libmp3lame -q:a 2 "audio/your-song/074.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 43.907 -to 44.508 -c:a libmp3lame -q:a 2 "audio/your-song/075.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 44.508 -to 45.109 -c:a libmp3lame -q:a 2 "audio/your-song/076.mp3"
